COMISIÓN NACIONAL DE HIDROCARBUROS,,,,,,,,
PRODUCCIÓN DE HIDROCARBUROS POR POZO,,,,,,,,
Correspondiente a la cuenca: Cinturon Plegado De Chiapas,,,,,,,,
Esta información se encuentra en proceso de revisión por lo que puede sufrir modificaciones.,,,,,,,,
,,,,,,,,
Actualización: 2020-05,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Fecha,Cuenca,Asignación_o_Contrato,Nombre_del_pozo,Petróleo_(Mbd),Gas_asociado_(MMpcd),Gas_no_asociado_(MMpcd),Agua_(Mbd),Condensado_(Mbd)
01-02-1998,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-85,0.268605,5.415914,0.0,0.006312,0.0
01-02-1998,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-87,0.609612,14.516072,0.0,0.006133,0.0
01-03-1998,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-15,0.660449,15.908188,0.0,0.006006,0.0
01-03-1998,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-63,0.535867,8.704476,0.0,0.012458,0.0
01-03-1998,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-67,0.165975,2.961769,0.0,0.0,0.0
01-03-1998,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-85,0.281629,5.384062,0.0,0.006473,0.0
01-03-1998,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-87,0.547838,12.576588,0.0,0.005742,0.0
01-04-1998,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-15,0.525004,14.385669,0.0,0.094622,0.0
01-04-1998,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-63,0.340079,7.905982,0.0,0.028431,0.0
01-04-1998,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-67,0.161024,2.779711,0.0,0.0,0.0
01-04-1998,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-85,0.306951,5.641928,0.0,0.006269,0.0
01-04-1998,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-87,0.559809,12.251278,0.0,0.006206,0.0
01-05-1998,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-15,0.294757,10.849336,0.0,0.146394,0.0
01-05-1998,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-63,0.200407,6.776866,0.0,0.209173,0.0
01-05-1998,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-67,0.139455,2.359377,0.0,0.0,0.0
01-05-1998,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-85,0.306891,5.534694,0.0,0.00627,0.0
01-05-1998,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-87,0.559261,12.023454,0.0,0.006209,0.0
01-06-1998,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-15,0.210715,9.81362,0.0,0.136514,0.0
01-06-1998,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-63,0.09435,6.79123,0.0,0.208178,0.0
01-06-1998,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-67,0.090995,1.62948,0.0,0.0,0.0
01-06-1998,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-85,0.308209,5.872354,0.0,0.00629,0.0
01-06-1998,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-87,0.54639,12.459644,0.0,0.006122,0.0
01-07-1998,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-15,0.205541,9.725011,0.0,0.13633,0.0
01-07-1998,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-63,0.068987,5.887825,0.0,0.243768,0.0
01-07-1998,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-67,0.103075,6.567658,0.0,0.0,0.0
01-07-1998,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-85,0.308209,5.833305,0.0,0.00629,0.0
01-07-1998,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-87,0.544591,12.299417,0.0,0.006087,0.0
01-08-1998,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-15,0.20128,9.949803,0.0,0.132151,0.0
01-08-1998,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-63,0.028204,2.737307,0.0,0.212297,0.0
01-08-1998,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-67,0.07548,1.399696,0.0,0.0,0.0
01-08-1998,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-85,0.30823,6.101567,0.0,0.00629,0.0
01-08-1998,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-87,0.549684,13.007775,0.0,0.008542,0.0
01-09-1998,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-15,0.194151,8.661176,0.0,0.150519,0.0
01-09-1998,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-63,0.009016,0.836076,0.0,0.084642,0.0
01-09-1998,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-67,0.08177,1.363211,0.0,0.0,0.0
01-09-1998,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-85,0.302548,5.422145,0.0,0.018555,0.0
01-09-1998,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-87,0.582243,12.488484,0.0,0.031597,0.0
01-10-1998,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-15,0.1887,8.156217,0.0,0.163256,0.0
