COMISIÓN NACIONAL DE HIDROCARBUROS,,,,,,,,
PRODUCCIÓN DE HIDROCARBUROS POR POZO,,,,,,,,
Correspondiente a la cuenca: Sabinas,,,,,,,,
Esta información se encuentra en proceso de revisión por lo que puede sufrir modificaciones.,,,,,,,,
,,,,,,,,
Actualización: 2020-05,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Fecha,Cuenca,Asignación_o_Contrato,Nombre_del_pozo,Petróleo_(Mbd),Gas_asociado_(MMpcd),Gas_no_asociado_(MMpcd),Agua_(Mbd),Condensado_(Mbd)
01-10-1978,SABINAS,,MONCLOVA-22,0.0,0.0,2.411753,0.000203,0.0
01-10-1978,SABINAS,,MONCLOVA-216,0.0,0.0,3.241527,0.0,0.0
01-10-1978,SABINAS,,MONCLOVA-1,0.0,0.0,7.368949,0.000406,0.0
01-10-1978,SABINAS,,MONCLOVA-127,0.0,0.0,20.99864,0.0,0.0
01-10-1978,SABINAS,,AMULETO-1B,0.0,0.0,14.125312,0.0,0.0
01-10-1978,SABINAS,,BUENA SUERTE-104,0.0,0.0,26.283199,0.0,0.0
01-10-1978,SABINAS,,BUENA SUERTE-162,0.0,0.0,7.830128,0.0,0.0
01-10-1978,SABINAS,,BUENA SUERTE-2A,0.0,0.0,3.059001,0.337417,0.0
01-11-1978,SABINAS,,AMULETO-1B,0.0,0.0,14.977985,0.0,0.0
01-11-1978,SABINAS,,BUENA SUERTE-104,0.0,0.0,20.752648,0.0,0.0
01-11-1978,SABINAS,,BUENA SUERTE-11,0.0,0.0,0.327698,0.0,0.0
01-11-1978,SABINAS,,BUENA SUERTE-162,0.0,0.0,8.765884,0.0,0.0
01-11-1978,SABINAS,,BUENA SUERTE-2A,0.0,0.0,9.019683,0.995046,0.0
01-11-1978,SABINAS,,MONCLOVA-1,0.0,0.0,6.878408,0.000419,0.0
01-11-1978,SABINAS,,MONCLOVA-127,0.0,0.0,21.46763,0.0,0.0
01-11-1978,SABINAS,,MONCLOVA-216,0.0,0.0,1.62172,0.0,0.0
01-11-1978,SABINAS,,MONCLOVA-26,0.0,0.0,1.765734,0.011951,0.0
01-11-1978,SABINAS,,MONCLOVA-3,0.0,0.0,24.907184,0.0,0.0
01-11-1978,SABINAS,,MONCLOVA-5,0.0,0.0,9.393702,0.0,0.0
01-11-1978,SABINAS,,MONCLOVA-22,0.0,0.0,2.670319,0.00021,0.0
01-12-1978,SABINAS,,MONCLOVA-26,0.0,0.0,1.792141,0.012174,0.0
01-12-1978,SABINAS,,MONCLOVA-22,0.0,0.0,1.381684,0.0,0.0
01-12-1978,SABINAS,,MONCLOVA-216,0.0,0.0,3.49185,0.0,0.0
01-12-1978,SABINAS,,MONCLOVA-129,0.0,0.0,0.728199,0.0,0.0
01-12-1978,SABINAS,,MONCLOVA-127,0.0,0.0,20.040204,0.0,0.0
01-12-1978,SABINAS,,MONCLOVA-1,0.0,0.0,6.469028,0.000406,0.0
01-12-1978,SABINAS,,BUENA SUERTE-2A,0.0,0.0,2.517023,0.277563,0.0
01-12-1978,SABINAS,,BUENA SUERTE-162,0.0,0.0,8.307311,0.0,0.0
01-12-1978,SABINAS,,BUENA SUERTE-11,0.0,0.0,8.771708,0.0,0.0
01-12-1978,SABINAS,,BUENA SUERTE-104,0.0,0.0,26.197686,0.0,0.0
01-12-1978,SABINAS,,AMULETO-1B,0.0,0.0,15.316116,0.0,0.0
01-12-1978,SABINAS,,MONCLOVA-3,0.0,0.0,22.768501,0.0,0.0
01-12-1978,SABINAS,,MONCLOVA-5,0.0,0.0,9.683055,0.0,0.0
01-01-1979,SABINAS,,BUENA SUERTE-104,0.0,0.0,23.655562,0.0,0.0
01-01-1979,SABINAS,,BUENA SUERTE-11,0.0,0.0,11.157276,0.0,0.0
